REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
C:\Users\Diego\Documents\Algoritmos\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\Algoritmos\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.220	 16000	wb
C:\Users\Diego\Documents\Algoritmos\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\Algoritmos\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.096	 16000	wb
C:\Users\Diego\Documents\Algoritmos\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\Algoritmos\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.101	 16000	wb
C:\Users\Diego\Documents\Algoritmos\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\Algoritmos\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.220	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.101	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.220	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 3.206	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 3.236	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.101	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.220	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.101	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.220	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 2.742	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 3.360	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.101	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.220	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 3.204	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 3.237	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.142	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.274	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.142	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.101	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.220	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_mestrado\Progs\~be4dfad7fba.wav	 -1.000	 1.101	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 1.106	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 1.152	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 2.324	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 2.516	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 1.106	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 1.152	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 1.939	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 2.559	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 1.106	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 1.152	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 2.324	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 2.516	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 1.106	 16000	wb
C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~80b4eb734d.wav	 C:\Users\Diego\Documents\binaural_noise_reduction_algorithms\Simulacoes_fabio\Progs\~be4dfad7fba.wav	 -1.000	 1.152	 16000	wb
